#Date,Amer Sport A,Cargotec,Elisa,Fortum,Huhtamaki,Kesko B,Kone,Konecranes,Metso,Metsa Board B,Neste,Nokia,Nokian Renkaat,Nordea,Orion B,Outokumpu,Outotec,Sampo A,Stora Enso R,Telia,Tieto,UPM-Kymmene,Valmet,Wartsila,YIT
2014-08-01,-0.497653592,-1.360619661,-1.525698158,-1.033194394,-1.187058592,-0.482321615,-0.663648831,-0.199736446,1.02440967,-0.584564099,-0.027422741,-0.709530549,-0.001856759,-1.318481399,-0.115159797,-0.261171638,-0.490934143,-0.905662842,-0.758020554,-0.82833471,-1.214434193,-0.803934615,1.585798407,-0.963176213,-1.093543406
2014-08-04,-0.886238605,0.374548524,0.155557149,0.652928436,-0.142586934,0.297581541,-0.328502986,-0.377370008,1.580557643,-0.445707754,1.09999736,0.053823951,0.10997728,-0.132847668,-0.242885351,-0.240752038,-0.676929206,0.234190144,0.351494262,-0.301101801,0.172648882,1.061578475,0.141542744,-0.154424161,0.002542734
2014-08-05,-0.507569637,-0.266802371,0.491808211,-0.207066781,0.449000781,-0.572772671,0.792388332,-0.241421122,0.376076878,0.947271616,-0.530066464,0.982322463,-0.430795974,-0.069888148,0.562903975,-1.321629527,-0.23812858,-0.181484921,-1.347034871,0.566759111,0.139623095,-3.819675666,-0.361851392,-0.017947253,-0.613124122
2014-08-06,-0.511288154,-0.465678242,-1.472268434,-0.4640977,-0.536763699,-1.190749462,0.115499284,-0.044366291,-1.016825604,-0.857860861,-0.06650519,-1.216936775,-0.775980692,-0.931997217,-1.829154331,-0.545140208,-0.973044088,-0.683663268,-1.221255772,-1.308916393,-1.593595638,-1.595489341,-0.778876382,-0.359139525,-0.708129317
2014-08-07,0.616661962,-0.506119507,-0.425758245,-0.435068326,-0.674177203,-0.197052902,-0.157631384,-0.024471332,-0.465742731,-1.019287495,0.703744748,0.096731458,-0.729988338,-0.135341114,0.790102426,-0.357279888,-0.130694609,0.652927272,-0.840339395,-0.510662073,-0.188094335,-0.412279933,-0.110920914,-1.122399274,-1.844042962
2014-08-08,-2.138759036,-1.157937553,-1.193721475,-0.634645275,-0.814816376,-0.820089892,-0.72830295,-0.401528172,-0.267697324,-0.904473415,0.428539168,-1.026846537,-3.255694752,-0.23196216,-1.749105136,0.109648297,-1.636448859,-1.400186032,-0.977878328,-1.482932873,-1.060737259,-0.746217083,-1.445298669,-1.265826395,-0.419379902
2014-08-11,1.682636797,2.041204447,1.132964896,0.923264485,1.752171102,0.608783773,1.208021958,0.471481571,0.586278525,1.420266373,0.835648015,0.877049391,0.758227402,1.463581346,1.408717898,0.594273468,0.97218225,0.301555532,1.198202343,1.684907556,1.115789161,0.901309257,1.126355434,0.706138569,1.460395381
2014-08-12,0.053306657,-0.125020051,-0.013280778,-0.081272825,-0.175488759,0.009150203,0.52783423,-0.202578583,-0.115744326,-0.894169587,-0.290686462,-0.204120021,-0.819552395,-0.354764391,0.99493419,-0.110066599,-0.517792636,1.488104981,-0.113274847,-0.171515061,1.160882063,-0.460206098,1.91287683,-0.422323279,-0.97364602
2014-08-13,-0.033458737,0.160447706,0.055821665,0.847667156,-0.274194233,-0.174914532,0.277134583,-0.362211944,-0.049391517,-0.894660246,0.306406514,0.183045399,-0.539725233,0.278570977,0.159715013,0.130884681,-0.428488148,-2.154219069,0.210887546,0.780021861,-1.073439485,0.241680319,-0.233575323,2.117031797,-0.539692158
2014-08-14,0.053306657,0.406901536,-0.219163313,0.33239576,-0.341288151,-0.544309052,-0.9625092,-0.06426125,0.893730091,-0.178789551,0.007860026,0.353677581,0.910728365,-0.482553516,0.661788275,-0.645060116,0.373237861,0.366624373,-0.478341012,0.235017056,0.274901801,-0.461236768,1.122266954,0.390219799,0.002542734
