#Date,Amer Sports A,Cargotec,Elisa,Fortum,Huhtamaki,Kesko B,Kone,Konecranes,Metso,Metsa Board B,Neste,Nokia,Nokian Renkaat,Nordea,Orion B,Outokumpu,Outotec,Sampo A,Stora Enso R,Telia,Tieto,UPM-Kymmene,Valmet,Wartsila,YIT
2017-01-20,0.1576434995,1.2552116295,0.9656488837,0.173473809,1.108781266,-0.1253232841,0.2288798925,0.6015517636,0.9564145364,0.588359839,-0.6167224769,0.4472062453,-0.0184686945,1.2354237426,-0.321223365,-2.3277151028,0.6952144286,0.1728142128,0.4333547244,-0.2064536206,0.2044748319,0.4135668375,0.4135668375,1.0164377936,-0.2486677795
2017-01-23,0.2882435534,0.1655586542,-0.5171234459,-0.3898213731,-0.4973355589,-0.1530263258,-0.13653642,-0.2051344282,-0.1180677255,-0.7288538364,-0.2334970661,-2.1621564486,-0.5758275106,-0.5454860839,-0.0461717362,1.5131137563,0,-0.6576174433,-0.0613424496,-0.9306902834,0.2295394887,-0.4933779816,-0.04551214,-0.4247799734,0.7070871607
2017-01-24,0.7836003236,1.2585096107,0.0211070794,-0.5659335671,-0.0191282907,-0.3766294485,2.4068666507,0.5791254917,1.0157781973,0.4913991929,0.742045761,0.0916838763,-0.0936626649,0.8554963129,-1.0309489107,1.998576583,1.6252451157,0.6008921674,1.046119624,0.2796688024,-0.025724253,1.0764610507,0.9135407814,0.8858377396,-0.9049660303
2017-01-25,-0.1028970122,0.7941538634,0.625297228,0.1319192464,0.366735505,0.5052507137,0.3377132708,1.9260209975,1.0698650883,0.6345315752,-3.3210670283,-0.8561559092,0.432035532,1.3877904722,0.9537761515,-1.0474388165,1.586328938,1.0969085339,1.0903125715,0.7657912254,0.4326951282,0.542847699,1.6219471346,0.5877002427,-0.4590789775
2017-01-26,0.568571952,0.5375709291,0.1028970122,-0.3509051954,0.8825397585,-0.3344152896,-3.772230851,0.6655325981,0.2057940244,-1.6912047389,0.1424727861,2.0757493422,-0.0375969852,1.0639287223,1.1094408623,-0.3944385468,-1.1918903913,0.8634114677,0.1787505789,0.7222578741,-0.4551214001,-1.1041640924,0.4399506868,0.0897050876,-1.8066340795
2017-01-27,-0.2051344282,-0.0573848722,-1.1338459229,0.0441929475,1.0790994356,0.3218829612,-1.907552303,-0.1246636879,0.04551214,-0.2974779006,0.4465466491,-0.9913731367,-0.2427314134,-0.8146013466,0.3634375238,1.1503358287,0.18204856,0.1371960163,0.3568415615,-1.5315824508,0.457759785,0.6576174433,-0.7427053573,4.7273261949,-1.4253874574
2017-01-30,-0.7710679952,-1.4570480765,-0.5243790045,-1.1450590588,-1.5269652771,-0.8080053842,0.2077728131,-1.3205116565,-1.3224904452,-1.5441147792,-1.3099581168,-1.7683774981,-0.0375969852,0.0587040647,-0.3317769047,-1.4814531371,-1.3917480496,-0.4102688563,-1.4187914951,-1.1846348327,-1.0870145904,-1.0309489107,-0.486122423,-1.182656044,-0.7948134596
2017-01-31,-2.0546422628,-0.4425890717,0.0633212383,0.3139678064,-1.1437398663,0.1266424765,0.7479821271,0.2367950473,0.255923338,-1.3772369325,0.3700334862,-0.9399246306,-0.8996892605,-0.1174081293,-0.6365103639,0.0395757739,-0.8653902564,-0.3970769317,-2.4161009979,0.6028709561,-0.025724253,-8.1005013255,-0.8456023695,-0.1418131899,-0.2684556664
2017-02-01,0.3489264067,1.2176146443,0.4432486679,-0.7136831231,-0.1939212922,-0.2532849531,-0.4247799734,0.1088333783,0.9036468379,1.0421620466,-0.6952144286,0.9221155324,0.8930932982,0,-0.2908819383,1.0758014544,1.5658814548,0.0923434725,0.5646143746,-0.4571001888,0.64244673,4.1772229374,-0.2255819114,-0.284285976,0.4933779816
2017-02-02,0.2400930285,-2.9160749418,-0.7763447651,-2.3442050086,-0.622658843,-4.7767959123,-1.6001804589,-0.054086891,0.4571001888,0.1536859221,0.6820225039,3.7933379304,2.1931574715,0.2948395157,1.2446580898,4.7055595193,1.5296036621,0.1226848992,0.9946711179,-0.0356181965,-0.0507889099,1.9200846314,0.0903646838,0.770408399,0.267136474
