#Date,Amer Sports A,Cargotec,Elisa,Fortum,Huhtamaki,Kesko B,Kone,Konecranes,Metso,Metsa Board B,Neste,Nokia,Nokian Renkaat,Nordea,Orion B,Outokumpu,Outotec,Sampo A,Stora Enso R,Telia,Tieto,UPM-Kymmene,Valmet,Wartsila,YIT
2014-09-05,0,0.071,0.478,-0.463,-0.437,0.605,-1.076,0.743,-0.612,1.185,-1.488,-0.923,1.91,-1.053,-1.179,4.913,-1.094,-0.684,0.575,-0.907,0.147,-0.421,1.655,0.334,1.463
2014-09-08,0.895,0.286,-0.19,-0.362,-0.098,-0.319,0.423,-0.205,-0.357,-0.871,0.985,1.708,-0.23,0.101,0.102,3.021,0.346,-0.291,-0.5,0.092,-0.784,-0.845,0.058,-0.769,0.069
2014-09-09,-0.57,-1.638,-0.859,-0.104,-0.293,0.071,-0.872,-1.027,1.009,0.575,-0.455,-1.374,-2.032,-1.569,-0.034,-3.519,-0.138,-0.558,-2.083,-0.64,-0.247,-0.937,-1.743,-0.594,-1.99
2014-09-10,-0.255,-1.303,-0.818,-1.09,-0.637,0.106,-0.789,-1.95,-0.741,-1.174,0.457,0.155,-1.057,1.234,0.239,-5.015,-2.622,0.16,-3.815,0.829,-1.09,-1.376,-0.355,-2.262,-1.891
2014-09-11,0.639,0,-0.437,0.157,0.345,1.312,-0.551,-0.973,-1.655,-1.188,-1.495,0.85,-1.82,-0.863,-0.102,-1.12,-0.78,-0.854,-0.076,-1.553,0.951,0.697,-1.246,-0.532,-2.355
2014-09-12,1.27,-0.403,-0.341,-1.52,-0.246,-0.665,0,-1.325,1.485,0,1.188,0.153,0.927,-0.256,0.374,-1.456,-1.071,0.081,-0.611,0.278,0.298,-0.26,-1.442,-1.444,-0.95
2014-09-15,1.003,-0.773,0.049,0.798,0.049,-1.409,-0.523,-2.555,-0.911,1.203,-3.001,2.372,0.679,-0.051,-0.508,1.724,-2.022,-0.403,-1.229,-0.833,1.978,-1.042,0,-0.109,-0.369
2014-09-16,0.186,-1.373,-0.196,-0.792,-0.64,-1.215,-0.804,-1.067,-0.755,1.188,0.807,-1.943,-0.436,-0.257,0.375,-0.888,-0.737,0.189,0.311,-0.093,-0.194,-1.053,0.183,-0.815,-0.444
2014-09-17,0.991,1.053,2.791,0.479,0.991,0.072,0.53,-0.629,0.165,-0.301,-0.4,1.22,-1.513,1.855,0.747,2.606,-0.445,0.296,2.326,1.214,-0.923,2.571,-0.548,-0.082,0.67
2014-09-18,0.613,0.335,-0.143,-0.477,1.422,1.048,0.093,-0.136,-0.297,1.782,4.22,1.054,-0.566,1.568,-1.752,-0.714,0.224,0.618,-0.076,0.092,0.687,0.864,-1.408,-1.069,-0.887
2014-09-19,1.037,0.223,0.286,1.277,0.919,1.073,0.248,0.045,0.43,-0.89,0.835,1.565,-0.407,1.394,2.881,-3.277,1.711,2.43,0.076,0.922,-0.925,0.257,0.807,1.524,-0.746
2014-09-22,-0.422,-0.037,-0.523,1.524,1.773,0.425,-0.68,-0.588,-0.099,-0.569,-0.574,-0.954,-1.021,1.375,0.767,-3.719,-1.536,0.547,-1.136,-0.913,1.082,-0.256,-0.862,-0.027,-0.225
2014-09-23,-2.061,-2.667,-0.909,0.311,-0.942,-2.114,-1.245,-2.321,-2.97,-1.475,1.731,-1.481,-2.599,-0.194,-0.728,-1.717,-2.303,-0.363,-0.766,-0.461,-2.626,-3.085,-0.186,-2.02,-2.108
2014-09-24,-0.062,0.609,1.351,0.722,0.428,0.396,1.04,-0.093,-1.565,-0.275,-0.252,1.729,1.228,0.971,0.766,-2.62,-1.217,0.156,-0.154,1.019,-0.1,-0.177,-2.489,-0.418,-0.923
2014-09-25,-1.672,-1.021,-0.619,-1.691,-0.994,1.183,-0.561,-1.726,-2.453,0.889,-1.39,0.222,-0.753,-1.923,0.364,5.022,-0.539,-0.078,0.155,-0.825,0,-0.177,0.702,-0.308,-4.27
2014-09-26,0,-0.726,1.054,0.834,0.717,0.142,-1.192,-0.57,-0.39,-1.185,3.78,0,2.361,-0.392,2.043,-3.16,-1.084,0.052,0.386,1.109,-0.45,0.089,-1.331,-0.477,-0.892
2014-09-29,0.693,0.693,-0.711,-0.465,0.047,-0.212,-0.349,0.477,0.249,0.307,0.062,-0.369,-0.988,-1.083,-0.065,-3.792,-4.069,0.052,-1.077,-0.457,-0.653,-1.418,3.532,-0.959,-1.146
2014-09-30,-0.5,1.185,0.382,0.26,3.131,0.532,1.338,1.188,0.035,4.75,0.555,0,-0.666,2.388,0.162,1.192,-1.958,-0.26,2.722,0.367,1.112,1.709,-2.047,0.854,1.159
2014-10-01,-1.886,-2.267,-1.522,-1.657,-0.414,-1.129,-0.723,-1.69,-3.404,-2.838,1.534,-2.147,-0.628,-1.263,-1,-3.533,-5.075,-1.172,-2.044,-0.549,-4.4,-0.973,-0.633,-1.073,-2.864
2014-10-02,-0.833,-3.518,-1.498,-2.37,-1.617,-1.427,-1.361,-1.767,-1.395,-4.968,-2.659,-1.664,-0.969,-1.87,-1.303,-6.216,-3.506,-0.184,-2.628,-1.288,-2.981,-1.875,-1.338,-3.138,-1.853
2014-10-03,0.452,0.24,0.343,0.917,0.469,-0.471,0.578,2.285,1.75,4.626,-0.062,2.231,0.723,1.906,1.519,1.422,0.908,0.264,1.429,0.373,0.647,1.183,1.938,2.445,-0.086
2014-10-06,0.45,-2.158,-1.564,0.641,1.869,0.8,0.351,-1.046,2.012,0,7.516,2.709,2.577,0.492,0.293,5.627,2.07,0.211,1.252,-0.464,-0.75,1.169,-0.76,-0.086,1.031
2014-10-07,-0.96,-4.534,-2.284,-1.381,-2.248,-2.02,0.159,-2.594,-1.542,-2.665,-1.849,-3.956,0.082,-2.938,-2.335,-3.738,-1.411,-1.156,-3.246,-1.493,-2.051,-2.311,-1.277,-0.863,-3.316
2014-10-08,-2.069,-2.867,-2.033,0.323,-2.769,0.074,-0.952,-0.838,-1.676,-3.018,-5.18,-2.288,-2.84,-1.715,-1.66,-2.718,-4.472,1.01,-1.757,-1.61,1.047,-2.093,-2.329,-1.393,-2.111
2014-10-09,-0.924,-3.48,-1.452,-0.054,-1.351,-1.104,1.058,1.691,2.075,-0.61,-1.8,0.859,-0.847,-1.283,-1.114,-3.353,-0.749,-0.816,-0.569,-0.77,0.491,-0.372,-2.781,0.913,-1.707
