#Date,Amer Sport A,Cargotec,Elisa,Fortum,Huhtamaki,Kesko B,Kone,Konecranes,Metso,Metsa Board B,Neste,Nokia,Nokian Renkaat,Nordea,Orion B,Outokumpu,Outotec,Sampo A,Stora Enso R,Telia,Tieto,UPM-Kymmene,Valmet,Wartsila,YIT
2017-01-02,0.867042098,0.351235324,0.708376691,1.410716063,0.863821829,0.374749574,0.385331273,0.795958877,0.502704376,0.475258177,0.950181304,0.486890425,1.513470263,0.111510073,0.812469113,0.050295326,0.858705118,1.037981706,0.218045706,0.954038341,1.359036788,0.26899308,1.109490453,0.436975777,1.689403538
2017-01-03,-0.958749684,0.183760906,-1.358285024,-0.514294327,-0.025817712,0.016107977,0.657802206,1.119488804,0.753933333,-0.783771434,-1.217266198,-0.661633796,-0.352366908,1.041565554,0.787159441,-0.045540663,0.722398267,0.690437545,0.017617223,-0.158186139,-0.697453596,0.20148418,-0.369517293,0.09704718,0.446453472
2017-01-04,-0.058248849,-1.210749088,0.760381622,-0.312903042,-0.459992774,0.095173585,0.060081467,-0.294474346,-0.255034574,-0.428534708,-0.680968144,0.12018091,-0.287493482,0.051667361,0.064362295,-0.319163302,-0.574195471,0.63149283,-0.481920093,0.717820225,-0.337980601,-0.477727492,-0.082812612,-0.122832284,-0.310269132
2017-01-05,0.309264568,-0.215418175,0.728323788,0.09774165,-0.170972822,0.671403735,-0.214368673,-0.350369707,0.074196922,0.264275039,-3.169217417,-0.03248999,0.193731777,-0.701976793,0.373375733,-0.339038379,-0.717552676,0.0719008,0.168449883,0.786686322,0.074841743,0.114907882,-0.263216805,-0.359139525,-0.154692939
2017-01-09,-0.302431457,-0.363385629,-0.047475801,0.506572006,-0.609663821,-0.745451958,-0.383261067,-0.421423131,-0.514367691,-0.39271664,-1.868097542,0.010916443,0.471138289,-1.660706908,-0.515405773,0.149398451,-0.421437793,0.10634901,-0.940553636,-0.87276445,0.098975972,-0.546782396,-0.519257883,-0.375567301,-0.846280977
2017-01-10,0.308644815,0.157117249,-0.274730226,0.056011925,-0.411607737,0.252672275,0.060081467,0.358743471,0.368985738,-0.027666745,0.098509596,-0.076395346,-0.765813961,-0.486917047,-0.125165946,0.517768034,0.405132321,-1.808205939,0.222136083,-0.309987749,0.267915577,-0.149974363,0.388895801,0.068614491,0.535235619
2017-01-11,-0.204510513,0.246088033,0.225371988,-0.433858768,-0.080654087,-0.697380069,0.654503526,0.057003261,-1.225001212,-0.21117301,-0.545808006,-0.582304799,0.433860276,0.234312304,-0.17990547,1.003754512,0.538753323,-0.999821283,0.371946148,0.451241788,-0.677765146,0.094294478,-0.519257883,0.436975777,0.685003634
2017-01-12,-0.795754694,-0.566543516,-0.20634018,0.302156828,-1.067063701,-0.663856251,-0.381281859,-0.434212748,-0.433326092,-0.433931951,0.42908198,-1.242381925,-0.892171901,0.233688943,-1.099882618,-1.95572617,-0.123308524,-0.721173541,-0.5882699,-0.118939869,-0.68475137,0.115938552,-0.33987581,-0.300378633,-0.759158308
2017-01-13,0.484034861,0.607680526,0.405608256,0.503548113,0.683184359,0.456977806,0.454603544,0.317532485,0.321880309,0.708320946,-0.050220836,1.08709661,0.006857581,1.297143803,0.80717174,0.101480457,-0.256593794,0.654458304,1.421127901,0.600821911,0.835069967,0.728671996,0.318880576,0.274593529,0.345640098
2017-01-16,-0.180959906,-1.57329314,0.020201849,-0.146588918,-0.696111753,0.082523087,-0.077143603,-0.36647515,0.169927311,-0.652765625,-0.761847101,-0.524429556,0.276518013,-0.182716595,-0.358838965,-0.046629708,-0.158224564,-0.666821921,-0.578043957,-0.535098429,-0.266213025,-0.06082139,-0.929639092,-0.44759678,-0.314002961
