#Date,Amer Sports A,Cargotec,Elisa,Fortum,Huhtamaki,Kesko B,Kone,Konecranes,Metso,Metsa Board B,Neste,Nokia,Nokian Renkaat,Nordea,Orion B,Outokumpu,Outotec,Sampo A,Stora Enso R,Telia,Tieto,UPM-Kymmene,Valmet,Wartsila,YIT
2017-01-02,1.464,0.816,1.067,2.334,1.417,0.653,0.634,1.747,0.996,1.03,1.89,0.959,3.219,0.189,1.442,0.235,2.564,1.385,0.49,1.252,2.199,0.6,2.289,0.75,4.15
2017-01-03,-1.481,0.463,-1.823,-0.872,0.028,0.084,1.05,2.444,1.498,-1.529,-2.097,-1.339,-0.684,1.695,1.399,-0.117,2.148,0.926,0.097,-0.258,-1.057,0.468,-0.629,0.209,1.075
2017-01-04,-0.04,-2.44,1.14,-0.541,-0.643,0.209,0.139,-0.568,-0.504,-0.814,-1.126,0.219,-0.551,0.093,0.161,-1.116,-1.721,0.849,-0.876,0.93,-0.496,-0.848,-0.07,-0.139,-0.751
2017-01-05,0.554,-0.378,1.095,0.136,-0.197,1.127,-0.277,-0.686,0.145,0.597,-5.556,-0.087,0.443,-1.11,0.689,-1.188,-2.14,0.114,0.393,1.024,0.153,0.299,-0.423,-0.511,-0.378
2017-01-09,-0.433,-0.687,0,0.815,-0.873,-1.114,-0.532,-0.834,-1.012,-0.741,-3.265,0,1.02,-2.619,-0.821,0.601,-1.272,0.159,-1.761,-1.216,0.191,-0.98,-0.919,-0.537,-2.025
2017-01-10,0.554,0.405,-0.319,0.067,-0.569,0.459,0.14,0.812,0.73,0,0.304,-0.175,-1.528,-0.768,-0.161,1.971,1.188,-2.314,0.498,-0.462,0.459,-0.215,0.857,0.164,1.292
2017-01-11,-0.275,0.594,0.384,-0.741,-0.057,-1.038,1.045,0.173,-2.391,-0.373,-0.879,-1.182,0.942,0.387,-0.253,3.808,1.592,-1.278,0.793,0.567,-1.027,0.259,-0.92,0.75,1.658
2017-01-12,-1.222,-1.11,-0.223,0.475,-1.573,-0.986,-0.529,-0.862,-0.854,-0.825,0.917,-2.481,-1.785,0.386,-1.8,-6.885,-0.392,-0.918,-1.082,-0.205,-1.038,0.301,-0.571,-0.419,-1.819
2017-01-13,0.838,1.361,0.638,0.81,1.133,0.784,0.739,0.724,0.636,1.512,0.03,2.181,0.056,2.113,1.434,0.424,-0.787,0.879,2.883,0.77,1.359,1.502,0.718,0.491,0.831
2017-01-16,-0.238,-3.18,0.095,-0.268,-1.006,0.189,-0.069,-0.719,0.335,-1.266,-1.272,-1.067,0.615,-0.282,-0.556,-0.121,-0.496,-0.847,-1.063,-0.764,-0.383,-0.042,-1.712,-0.651,-0.76
2017-01-17,-1.032,0.754,-0.919,0.47,-1.335,-0.672,-1.377,-0.985,-0.148,-0.603,1.135,-0.584,-1.722,-0.472,-1.072,-1.511,-1.195,-0.807,0.488,-0.205,-1.423,-0.507,-1.379,-0.772,-0.128
2017-01-18,1.163,2.753,0.544,0.802,0.5,-0.127,-0.163,1.902,1.745,-0.228,0.941,-0.09,-2.091,0.853,1.319,1.227,1.915,0.168,0.583,-0.669,-0.117,1.105,3.9,0.731,0.767
2017-01-19,-0.555,1.269,-0.032,0.796,-0.761,0.423,0.793,0.775,0.657,2.281,2.855,0.09,2.482,0.376,0.186,1.333,3.264,0.382,2.995,-0.57,0.664,0.588,1.7,0.281,1.015
2017-01-20,0.239,1.903,1.464,0.263,1.681,-0.19,0.347,0.912,1.45,0.892,-0.935,0.678,-0.028,1.873,-0.487,-3.529,1.054,0.262,0.657,-0.313,0.31,0.627,0.627,1.541,-0.377
2017-01-23,0.437,0.251,-0.784,-0.591,-0.754,-0.232,-0.207,-0.311,-0.179,-1.105,-0.354,-3.278,-0.873,-0.827,-0.07,2.294,0,-0.997,-0.093,-1.411,0.348,-0.748,-0.069,-0.644,1.072
2017-01-24,1.188,1.908,0.032,-0.858,-0.029,-0.571,3.649,0.878,1.54,0.745,1.125,0.139,-0.142,1.297,-1.563,3.03,2.464,0.911,1.586,0.424,-0.039,1.632,1.385,1.343,-1.372
2017-01-25,-0.156,1.204,0.948,0.2,0.556,0.766,0.512,2.92,1.622,0.962,-5.035,-1.298,0.655,2.104,1.446,-1.588,2.405,1.663,1.653,1.161,0.656,0.823,2.459,0.891,-0.696
2017-01-26,0.862,0.815,0.156,-0.532,1.338,-0.507,-5.719,1.009,0.312,-2.564,0.216,3.147,-0.057,1.613,1.682,-0.598,-1.807,1.309,0.271,1.095,-0.69,-1.674,0.667,0.136,-2.739
2017-01-27,-0.311,-0.087,-1.719,0.067,1.636,0.488,-2.892,-0.189,0.069,-0.451,0.677,-1.503,-0.368,-1.235,0.551,1.744,0.276,0.208,0.541,-2.322,0.694,0.997,-1.126,7.167,-2.161
2017-01-30,-1.169,-2.209,-0.795,-1.736,-2.315,-1.225,0.315,-2.002,-2.005,-2.341,-1.986,-2.681,-0.057,0.089,-0.503,-2.246,-2.11,-0.622,-2.151,-1.796,-1.648,-1.563,-0.737,-1.793,-1.205
2017-01-31,-3.115,-0.671,0.096,0.476,-1.734,0.192,1.134,0.359,0.388,-2.088,0.561,-1.425,-1.364,-0.178,-0.965,0.06,-1.312,-0.602,-3.663,0.914,-0.039,-12.281,-1.282,-0.215,-0.407
2017-02-01,0.529,1.846,0.672,-1.082,-0.294,-0.384,-0.644,0.165,1.37,1.58,-1.054,1.398,1.354,0,-0.441,1.631,2.374,0.14,0.856,-0.693,0.974,6.333,-0.342,-0.431,0.748
2017-02-02,0.364,-4.421,-1.177,-3.554,-0.944,-7.242,-2.426,-0.082,0.693,0.233,1.034,5.751,3.325,0.447,1.887,7.134,2.319,0.186,1.508,-0.054,-0.077,2.911,0.137,1.168,0.405
2017-02-03,0.282,0.162,-0.547,0.071,0.119,2.333,0.246,-1.732,-5.06,-2.638,1.736,-0.36,1.705,0,0.069,3.552,-1.36,0.627,-6.778,-0.269,-0.27,-3.481,-1.438,1.304,-8.406
2017-02-06,-1.488,-0.647,-0.744,-0.496,0.059,0.88,-0.442,-1.147,0.218,-1.673,0.457,-0.812,-0.73,-0.089,0.343,0.375,-1.195,-0.554,-1.444,-0.862,-1.084,-0.721,-0.069,0.696,0.073
2017-02-07,-0.245,-0.511,0.293,0.498,0.773,0.09,-0.74,0.679,3.256,-0.243,-5.492,2.501,1.498,0.445,0.023,2.83,3.256,0.65,-1.566,-0.38,-0.587,-0.318,1.043,2.975,-2.128
2017-02-08,0.287,2.593,0.748,0.567,0.442,1.095,0.398,-5.368,-1.507,0.162,4.751,0.843,-1.959,0.532,-2.458,1.038,-3.333,-0.369,-0.411,0.327,0.67,-0.729,-3.51,-0.814,-0.6
2017-02-09,-7.347,7.536,0.904,-0.211,-1.645,-0.885,-0.693,2.525,0.249,0.243,4.045,0.792,0.602,0.441,5.881,-0.206,0.466,0.648,0.979,0.163,-0.117,1.652,6.063,0.821,2.262
2017-02-10,-1.366,-1.313,-0.32,0.353,-0.149,-0.402,0.997,0.753,1.632,0.162,2.003,-0.524,0,0.263,1.036,0.875,1.299,0.207,1.072,-0.163,0.078,0.948,0.067,1.099,-0.664
