# Information
Run datetime, 2017-09-28 20:32:51
Data file, synthetic_data/global_restructuring_1000x20.csv
Algorithm type, ParallelTVGL
Penalty function, group_lasso
Data dimension, 20
Blocks, 50
Observations in a block, 20
Rho, 6.7
Beta, 55
Lambda, 2.0
Processes used, 25
Total edges, 1350
Total edgeless, 8150

# Results
Algorithm run time, 19.7 seconds
Iterations to complete, 2084

Correct positive edges, 1160
All positives, 1267
F1 Score, 0.887
Temporal deviations ratio (max/mean), 21.846
Temporal deviations ,1.414,1.414,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.414,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.449,4.000,8.602,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Normalized Temporal deviations ,0.164,0.164,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.164,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.285,0.465,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
